Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-29 11:17:42,"13686912","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","34499","578880","422776","82112","26282","964800","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:17:43,"13712800","0","0","0","1","0","4","0","96","0","0","0","7958128","900608","872560","28048","0","0","4","0","5","7","0","24","89088","26937","578880","321901","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","8000",
2019-09-29 11:17:44,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321901","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:45,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321901","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:46,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321901","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:47,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","8","0","24","89088","26937","578880","321903","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:48,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321903","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:49,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321903","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:50,"13712776","0","0","0","1","0","0","0","100","0","0","0","7958128","900608","872560","28048","0","0","0","0","5","7","0","24","89088","26937","578880","321903","82112","20220","964800","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:17:51,"13736696","0","0","0","1","0","3","0","97","0","0","0","7958128","876200","848152","28048","0","0","3","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","8000",
