Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-29 11:20:18,"13705520","0","0","0","1","0","0","0","100","0","0","0","8024692","907328","879432","27896","0","0","0","0","5","7","0","24","116736","34500","578848","396280","82096","26284","964784","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:20:19,"13796152","0","0","0","1","0","4","0","96","0","0","0","8024692","816076","788180","27896","0","0","4","0","5","7","0","24","89088","26938","514848","302030","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","8000",
2019-09-29 11:20:20,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302030","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:21,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302030","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:22,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302030","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:23,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","8","0","24","89088","26938","514848","302031","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:24,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302031","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:25,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302031","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:26,"13796120","0","0","0","1","0","0","0","100","0","0","0","8024692","816076","788180","27896","0","0","0","0","5","7","0","24","89088","26938","514848","302031","82096","20221","964784","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:20:27,"13910668","0","0","0","2","0","3","0","96","0","0","0","8024692","700260","672364","27896","0","0","3","0","5","7","0","24","65536","19376","418848","207781","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","8000",
