Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-29 11:15:06,"13679492","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420807","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:07,"13708268","0","0","0","1","0","4","0","96","0","0","0","8023068","903860","875464","28396","0","0","4","0","5","7","0","24","89088","26938","578940","320244","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","8000",
2019-09-29 11:15:08,"13708268","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320244","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:09,"13708268","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320244","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:10,"13708272","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320244","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:11,"13708272","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","8","0","24","89088","26938","578940","320246","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:12,"13708272","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320246","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:13,"13708272","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320246","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:14,"13708272","0","0","0","1","0","0","0","100","0","0","0","8023068","903860","875464","28396","0","0","0","0","5","7","0","24","89088","26938","578940","320246","82048","20108","964900","7872","0","9","1","0","23588","24211","208","26989","0","0",
2019-09-29 11:15:15,"13729320","0","0","0","1","0","3","0","97","0","0","0","8023068","882684","854288","28396","0","0","3","0","5","7","0","24","68608","19376","578940","219683","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","8000",
2019-09-29 11:15:16,"13729320","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219683","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:17,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219683","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:18,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219683","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:19,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","8","0","24","68608","19376","578940","219684","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:20,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219684","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:21,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219684","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:22,"13729480","0","0","0","1","0","0","0","100","0","0","0","8023068","882684","854288","28396","0","0","0","0","5","7","0","24","68608","19376","578940","219684","82048","14046","964900","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:15:23,"13758080","0","0","0","1","0","3","0","97","0","0","0","8023068","854072","825676","28396","0","0","2","0","5","8","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","8000",
2019-09-29 11:15:24,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:25,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:26,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:27,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:28,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:29,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:30,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:31,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:32,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:33,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:34,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:35,"13758124","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:36,"13758128","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:37,"13758128","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:38,"13758128","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:39,"13758272","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:40,"13758272","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:41,"13758272","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:42,"13758272","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:15:43,"13758272","0","0","0","1","0","0","0","100","0","0","0","8023068","854072","825676","28396","0","0","0","0","5","7","0","24","40960","11647","579196","119122","82048","7983","965328","7872","0","9","1","0","23588","8211","208","10989","0","0",
